"ligand","receptor","prob","ligand_confidence","receptor_confidence","combined_confidence","final_score"
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Htr1a",0,0.665126604991613,0.661471403489312,0.663296486423593,0
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Htr1b",0,0.665126604991613,0.742360571556259,0.702683261960073,0
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Htr1d",0,0.665126604991613,0.662685155641297,0.663904758041419,0
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Htr1e",0,0.665126604991613,0.652916526836613,0.658993287399615,0
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Htr1f",0,0.665126604991613,0.602073294215363,0.632815112128006,0
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Htr2a",0,0.665126604991613,0.65349652772059,0.659285921931148,0
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Htr2b",0,0.665126604991613,0.645430893630334,0.655204745890204,0
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Htr2c",0,0.665126604991613,0.768173371555167,0.714795457923068,0
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Htr3a",0,0.665126604991613,0.656862155108161,0.660981463563515,0
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Htr3b",0,0.665126604991613,0.653104081776347,0.659087930869673,0
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Htr4",0,0.665126604991613,0.76374072603508,0.712730156652251,0
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Htr5a",0,0.665126604991613,0.648196858642104,0.656607170197563,0
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Htr6",0,0.665126604991613,0.807170282424481,0.732714425679689,0
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Htr7",0,0.665126604991613,0.766038034114948,0.713801286721539,0
"Tph1,Tph2,Ddc,Slc18a1,Slc18a2","Slc6a4",0,0.665126604991613,0.664707907553095,0.664917223315706,0
"Chat,Slc18a3","Ache",0,0.710045613328086,0.665,0.687153791274688,0
"Chat,Slc18a3","Chrm1",0,0.710045613328086,0.668503752008515,0.688961651042359,0
"Chat,Slc18a3","Chrm2",0,0.710045613328086,0.68288106416706,0.696330886889728,0
"Chat,Slc18a3","Chrm3",0,0.710045613328086,0.805273626652345,0.756162023731221,0
"Chat,Slc18a3","Chrm4",0,0.710045613328086,0.599011449635369,0.652169803154739,0
"Chat,Slc18a3","Chrm5",0,0.710045613328086,0.637132840301691,0.672601946446395,0
"Chat,Slc18a3","Chrna1",0,0.710045613328086,0.643727059867935,0.676073646165721,0
"Chat,Slc18a3","Chrna10",0,0.710045613328086,0.74767503697623,0.728617444342287,0
"Chat,Slc18a3","Chrna2",0,0.710045613328086,0.713437457492526,0.711739514904513,0
"Chat,Slc18a3","Chrna3",0,0.710045613328086,0.622294469638981,0.664723595463172,0
"Chat,Slc18a3","Chrna4",0,0.710045613328086,0.693185088720763,0.701564702269589,0
"Chat,Slc18a3","Chrna5",0,0.710045613328086,0.645627887196713,0.67707108131001,0
"Chat,Slc18a3","Chrna6",0,0.710045613328086,0.667886947390977,0.688643737497154,0
"Chat,Slc18a3","Chrna7",0,0.710045613328086,0.781404734980072,0.744871132684302,0
"Chat,Slc18a3","Chrna9",0,0.710045613328086,0.636483412328631,0.672259068276535,0
"Chat,Slc18a3","Chrnb1",0,0.710045613328086,0.607541541427395,0.656796929351155,0
"Chat,Slc18a3","Chrnb2",0,0.710045613328086,0.698994401751984,0.704498338326561,0
"Chat,Slc18a3","Chrnb3",0,0.710045613328086,0.699573088781174,0.704789899822247,0
"Chat,Slc18a3","Chrnb4",0,0.710045613328086,0.732771126290316,0.721318878025468,0
"Chat,Slc18a3","Chrnd",0,0.710045613328086,0.698328264111684,0.704162566880346,0
"Chat,Slc18a3","Chrne",0,0.710045613328086,0.626225978312723,0.66682007232314,0
"Chat,Slc18a3","Chrng",0,0.710045613328086,0.609475851144633,0.657841663726651,0
"Adcyap1","Adcyap1r1",0.000265911615639122,0.707451442913381,0.767810212602667,0.737013190376798,0.000195980368200438
"Adcyap1","Vipr1",0.000199856573461092,0.707451442913381,0.697763135073108,0.702590589688785,0.000140417347801209
"Adcyap1","Vipr2",0.000191711609051897,0.707451442913381,0.695099674420282,0.701248363732315,0.000134437452156132
"Hmox1,Hmox2","Gucy1a1",0,0.702787765995984,0.813855123537966,0.756285279584121,0
"Hmox1,Hmox2","Gucy1a2",0,0.702787765995984,0.781546991818324,0.741121895777531,0
"Hmox1,Hmox2","Gucy1b1",0,0.702787765995984,0.665,0.683632843262616,0
"Hmox1,Hmox2","Gucy1b2",0,0.702787765995984,0.653371436697508,0.677629288300194,0
"Cck","Cckbr",0,0.762229301683144,0.695876741237732,0.728297770510921,0
"Crh","Crhr1",0,0.652387388673738,0.766174741249032,0.706995571917698,0
"Crh","Crhr2",0,0.652387388673738,0.758061602621666,0.703242368880159,0
"Th,Ddc,Slc18a1,Slc18a2","Comt",0,0.676587437856823,0.678335487172337,0.677460898704339,0
"Th,Ddc,Slc18a1,Slc18a2","Drd1",0,0.676587437856823,0.631115866832783,0.653456247449805,0
"Th,Ddc,Slc18a1,Slc18a2","Drd2",0,0.676587437856823,0.738376790767786,0.706807230465648,0
"Th,Ddc,Slc18a1,Slc18a2","Drd3",0,0.676587437856823,0.63194849615892,0.653887156834905,0
"Th,Ddc,Slc18a1,Slc18a2","Drd4",0,0.676587437856823,0.707204153091648,0.691726424232863,0
"Th,Ddc,Slc18a1,Slc18a2","Drd5",0,0.676587437856823,0.67685644202378,0.676721926573799,0
"Th,Ddc,Slc18a1,Slc18a2","Slc6a3",0,0.676587437856823,0.621404179747534,0.648409023571468,0
"Th,Ddc,Dbh,Pnmt,Slc18a1,Slc18a2","Adra1a",0,0.680509389300544,0.634148567511042,0.656920127871535,0
"Th,Ddc,Dbh,Pnmt,Slc18a1,Slc18a2","Adra1b",0,0.680509389300544,0.662910518359266,0.671652314824844,0
"Th,Ddc,Dbh,Pnmt,Slc18a1,Slc18a2","Adra1d",0,0.680509389300544,0.751552218522399,0.715149174126732,0
"Th,Ddc,Dbh,Pnmt,Slc18a1,Slc18a2","Adra2a",0,0.680509389300544,0.645833111133668,0.662944564837546,0
"Th,Ddc,Dbh,Pnmt,Slc18a1,Slc18a2","Adra2b",0,0.680509389300544,0.665,0.672709999840096,0
"Th,Ddc,Dbh,Pnmt,Slc18a1,Slc18a2","Adra2c",0,0.680509389300544,0.640988598275164,0.66045344995756,0
"Th,Ddc,Dbh,Pnmt,Slc18a1,Slc18a2","Adrb1",0,0.680509389300544,0.676275284813029,0.678389033716765,0
"Th,Ddc,Dbh,Pnmt,Slc18a1,Slc18a2","Adrb2",0,0.680509389300544,0.661621619589298,0.670999049399289,0
"Th,Ddc,Dbh,Pnmt,Slc18a1,Slc18a2","Adrb3",0,0.680509389300544,0.624937556068067,0.652131792378546,0
"Gad1,Gad2,Slc32a1","Gabbr1",0,0.743623629606016,0.658118721174815,0.699566031302039,0
"Gad1,Gad2,Slc32a1","Gabbr2",0,0.743623629606016,0.830508153163766,0.785866074641874,0
"Gad1,Gad2,Slc32a1","Gabra1",0,0.743623629606016,0.859640973357721,0.799530700327584,0
"Gad1,Gad2,Slc32a1","Gabra2",0,0.743623629606016,0.682919294166422,0.712625374412119,0
"Gad1,Gad2,Slc32a1","Gabra3",0,0.743623629606016,0.728794021601911,0.736171485170934,0
"Gad1,Gad2,Slc32a1","Gabra4",0,0.743623629606016,0.642621512260465,0.691280363825007,0
"Gad1,Gad2,Slc32a1","Gabra5",0,0.743623629606016,0.772436715323349,0.757893260221845,0
"Gad1,Gad2,Slc32a1","Gabra6",0,0.743623629606016,0.648100731880525,0.694221159711595,0
"Gad1,Gad2,Slc32a1","Gabrb1",0,0.743623629606016,0.659299042867773,0.700193078552699,0
"Gad1,Gad2,Slc32a1","Gabrb2",0,0.743623629606016,0.759685550117118,0.751611685737611,0
"Gad1,Gad2,Slc32a1","Gabrb3",0,0.743623629606016,0.738490739613046,0.741052740512768,0
"Gad1,Gad2,Slc32a1","Gabrg1",0,0.743623629606016,0.65555153724609,0.698200267488305,0
"Gad1,Gad2,Slc32a1","Gabrg2",0,0.743623629606016,0.674397831356597,0.708165350149115,0
"Gad1,Gad2,Slc32a1","Gabrg3",0,0.743623629606016,0.738498390813624,0.741056579375036,0
"Gja10","Gja10",0,0.64377058198907,0.64377058198907,0.64377058198907,0
"Gja1","Gja1",0,0.742880666367757,0.742880666367757,0.742880666367757,0
